NAAM;FAMILIE_ID
Anticlea;245
Antidaphne;354
Antidesma;309
Antigonon;327
Antigramma;
Antillanthus;
Antillia;
Antimima;7
Antimion;374
Antinisa;352
Antinoria;322
Antiosorus;
Antiostelma;25
Antiotrema;58
Antiphiona;
Antiphylla;361
Antiphytum;58
Antirhea;348
Antirrhinum;318
Antirrhoea;348
Antisola;246
Antistrophe;332
Antitaxis;248
Antithrixia;
Antitoxicum;25
Antitrichia;
Antizoma;248
Antoiria;
Antonia;229
Antopetitia;
Antriba;232
Antrocaryon;18
Antrophyum;
Antrospermum;
Antura;25
Anubias;29
Anulocaulis;273
Anura;
Anurosperma;269
Anurus;
Anvillea;
Anychia;86
Aongstroemia;
Aongstroemiopsis;
Aoranthe;348
Aosa;228
Aostea;
Aotus;
Apacheria;112
Apalatoa;
Apalochlamys;
Apalodium;
Apalophlebia;
Apama;34
Apargia;
Aparine;348
Aparisthmium;154
Apassalus;1
Apatelia;5
Apatesia;7
Apatitia;246
Apatophyllum;88
Apeiba;238
Apera;322
Aperiphracta;219
Apetahia;75
Aphaca;
Aphaenandra;348
Aphanactis;
Aphanamixis;247
Aphananthe;78
Aphandra;32
Aphanelytrum;322
Aphanes;346
Aphania;355
Aphanisma;14
Aphanocalyx;
Aphanocarpus;348
Aphanochilus;216
Aphanococcus;355
Aphanolejeunea;
Aphanopappus;
Aphanopetalum;22
Aphanopleura;24
Aphanorrhegma;
Aphanosperma;1
Aphanostelma;25
Aphanostemma;337
Aphanostephus;
Aphanostylis;25
Aphelandra;1
Aphelandrella;1
Aphelexis;
Aphelia;
Aphloia;23
Aphora;154
Aphragmia;1
Aphragmus;60
Aphyllanthes;35
Aphyllocladus;
Aphyllodium;
Aphyllon;283
Aphyllorchis;282
Aphyteia;
Apiastrum;24
Apicra;35
Apinagia;324
Apinella;24
Apiocarpa;
Apiocarpus;355
Apiopetalum;24
Apios;
Apium;24
Aplanodes;60
Aplectrum;282
Aplocarya;374
Aplodon;
Aplopappus;
Aplostylis;105
Aplotaxis;
Aplozia;
Apluda;322
Apoballis;29
Apocaulon;350
Apochiton;322
Apochoris;332
Apoclada;322
Apocopis;322
Apocynum;25
Apodandra;154
Apodanthera;115
Apodanthes;26
Apodasmia;340
Apodicarpum;24
Apodina;232
Apodiscus;309
Apodocephala;
Apodolirion;15
Apodostigma;88
Apodynomene;
Apodytes;201
Apogon;
Apollonias;219
Apomarsupella;
Apometzgeria;
Apomuria;348
Aponogeton;27
Apophyllum;80
Apoplanesia;
Apopleumon;105
Apopyros;
Aporanthus;
Aporberocereus;70
Aporetica;355
Aporocactus;70
Aporophyllum;70
Aporosa;309
Aporostylis;282
Aporrhiza;355
Aporuellia;1
Aposeris;
Apostasia;282
Apostates;
Apotreubia;
Apozia;216
Appendicula;282
Appendicularia;246
Appertiella;196
Appunia;348
Aptandra;277
Apteria;64
Apterigia;60
Apterokarpos;18
Apteropteris;
Apterosperma;398
Apterygium;
Apteuxis;246
Aptosimum;367
Aptychella;
Aptychopsis;
Aptychus;
Apuleia;
Apurimacia;
Aquartia;374
Aquilaria;401
Aquilegia;337
Arabidella;60
Arabidopsis;60
